SMILES,pACT_Value,Molecule_ChEMBL_ID,Molecule_Name,split
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.44,CHEMBL3125527,,train
COc1ccc(CO)cc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.4,CHEMBL3653245,,train
CC(C)[C@H](N1C(=O)[C@@H](CC(=O)O)C[C@@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)S(=O)(=O)C(C)C,10.35,CHEMBL4463050,,train
COc1ccc(C(=O)NCCO)cc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.3,CHEMBL3657031,,train
CC(C)(C)[C@@H](CS(=O)(=O)N1CCS(=O)(=O)CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.23,CHEMBL3318783,,train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)NC2CC2)C2CC2)C1=O,10.23,CHEMBL3318761,,train
COC[C@@H](C)n1c(-c2cnc(N(C)C)nc2OC)nc2c1[C@H](c1ccc(Cl)cc1)N(c1cc(Cl)c(=O)n(C)c1)C2=O,10.23,CHEMBL3657124,,train
COc1nc(N(C)C)ncc1-n1nc2c(c1C(C)C)[C@H](c1ccc(Cl)cc1)N(c1cc(Cl)c[nH]c1=O)C2=O,10.17,CHEMBL3691776,,train
COc1ccc(C(=O)N(C)C)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.15,CHEMBL3653166,,test
COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2C)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,10.15,CHEMBL3653231,,train
COc1ccc(CNC(C)=O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.15,CHEMBL3639520,,train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)Nc2ccccc2)C2CC2)C1=O,10.15,CHEMBL3318768,,train
CN1CCN(S(=O)(=O)C[C@@H](N2C(=O)[C@@](C)(CC(=O)O)C[C@H](c3cccc(Cl)c3)[C@H]2c2ccc(Cl)cc2)C(C)(C)C)CC1,10.13,CHEMBL3318781,,test
COc1ccccc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.13,CHEMBL4290086,,train
CCN(c1ccccc1)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.12,CHEMBL3318771,,val
COc1ccc(CNC(=O)CO)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.1,CHEMBL3657040,,train
COc1ccc(C(=O)NC(C)C)cc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.1,CHEMBL3657038,,train
COc1ccc(C(N)=O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O,10.1,CHEMBL3656990,,val
COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)c(F)c1)N(c1cccc(Cl)c1F)C2=O,10.1,CHEMBL3657058,,train
CCNS(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.1,CHEMBL3318756,,val
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)NCC2CC2)C2CC2)C1=O,10.09,CHEMBL3318758,,train
COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1)N(c1cc(Cl)cn(C)c1=O)C2=O,10.09,CHEMBL3657083,,train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)NC2CCC2)C2CC2)C1=O,10.07,CHEMBL3318762,,train
CC(C)(C)[C@@H](CS(=O)(=O)N1CCNCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.06,CHEMBL3318782,,test
COc1ccc(CN)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.05,CHEMBL3653173,,train
COc1ccc(C(=O)N(C)C)cc1-c1nc2c(n1C(C)C)[C@H](c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,10.05,CHEMBL3657035,,train
COc1ccc(C(=O)NC(C)C)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,10.05,CHEMBL3657024,,test
COC[C@@H](C)n1c(-c2cnc(OC)nc2OC)nc2c1[C@H](c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O,10.05,CHEMBL3657117,,train
COc1ncc(-c2nc3c(n2[C@H](C)CO)C(c2ccc(Cl)cc2)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,10.05,CHEMBL3653271,,train
CC(C)(C)NS(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.04,CHEMBL3318764,,test
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)N2CCOCC2)C2CC2)C1=O,10.02,CHEMBL3318767,,train
CC(C)NS(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.01,CHEMBL3318760,,test
COc1nc(N(C)C)ncc1-n1nc2c(c1C(C)C)[C@H](c1ccc(C#N)cc1)N(c1cc(Cl)c[nH]c1=O)C2=O,10.01,CHEMBL3691779,,val
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cc2ncc(CC(=O)O)o2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)c(F)c1,10.0,CHEMBL3236662,,test
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)C2CC2)C2CC2)C1=O,10.0,CHEMBL3894720,,train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)N2CCCC2)C2CC2)C1=O,10.0,CHEMBL3125521,,train
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(N)=O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3236364,,train
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3125537,,train
CC[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)C2CCCCC2)C2CC2)C1=O,10.0,CHEMBL3929623,,train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(C)(=O)=O)C2CC2)C1=O,10.0,CHEMBL3125701,,train
CC[C@@H](CS(=O)(=O)[C@H](C)CC)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3983607,,train
CC(C)(C)S(=O)(=O)C[C@H](C1CCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3125538,,train
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cc(F)cc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3904145,,train
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@](C)(Cc2nnn[nH]2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3236358,,val
C[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3125534,,train
CC(C)S(=O)(=O)C[C@H](C1CCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3125698,,test
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)C(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3236361,,train
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cc2cnc(C(=O)O)cn2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3236649,,val
CC[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@](CC)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3952401,,train
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CC(=O)N2CC[C@H](C(=O)O)C2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,10.0,CHEMBL3236636,,train
